cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
oth,group,contrast,equal_block,all,ce_root_original,0.1695401218112444,0.002697240523255125,0.16578077705631333,0.17387581619802628,10,
oth,group,contrast,equal_block,all,ce_root_shuffled,0.24183021630578114,0.009770968448935626,0.22519488244262043,0.2577771652823353,10,
oth,group,contrast,equal_block,all,g_original,-0.2031129186059526,0.005876200198171297,-0.21230888478939064,-0.19408915164870094,10,
oth,group,contrast,equal_block,all,g_shuffled,7.105427357601002e-17,9.173067274558417e-17,0.0,1.7763568394002506e-16,10,
oth,group,contrast,equal_block,all,q,-0.20311291860595265,0.0058762001981712934,-0.21230888478939064,-0.1940891516487011,10,
oth,group_difference,HEX,eligible_token_weighted,all,ce_ctw_original,0.018800360219659584,0.0006843887448675873,0.018123861415205944,0.020167976086025163,10,
oth,group_difference,HEX,eligible_token_weighted,all,ce_ctw_shuffled,0.029992343159046798,0.0014354903654107704,0.02771135587894058,0.03241182542500454,10,
oth,group_difference,HEX,eligible_token_weighted,all,ce_root_original,0.015560858560687053,0.00014536232719974094,0.015383864468023312,0.015850506683369403,10,
oth,group_difference,HEX,eligible_token_weighted,all,ce_root_shuffled,0.029992343159046798,0.0014354903654107704,0.02771135587894058,0.03241182542500454,10,
oth,group_difference,HEX,eligible_token_weighted,all,g_original,-0.0032395016589726044,0.0007819801749927054,-0.0047841116180011856,-0.002273354731837096,10,
oth,group_difference,HEX,eligible_token_weighted,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,group_difference,HEX,eligible_token_weighted,all,q,-0.0032395016589726044,0.0007819801749927054,-0.0047841116180011856,-0.002273354731837096,10,
oth,group_difference,HEX,equal_block,all,ce_ctw_original,0.01740070615372531,0.000689567920708591,0.016593559123966983,0.01884465892444087,10,
oth,group_difference,HEX,equal_block,all,ce_ctw_shuffled,0.023856502528845257,0.0010029248753781782,0.021611566254883918,0.02500798116746239,10,
oth,group_difference,HEX,equal_block,all,ce_root_original,0.013804754216955751,0.0001562548795822161,0.013621505713036441,0.014059210425538815,10,
oth,group_difference,HEX,equal_block,all,ce_root_shuffled,0.023856502528845257,0.0010029248753781782,0.021611566254883918,0.02500798116746239,10,
oth,group_difference,HEX,equal_block,all,g_original,-0.0035959519367693817,0.0006732944901036183,-0.004878381919215968,-0.0027347362285339294,10,
oth,group_difference,HEX,equal_block,all,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,group_difference,HEX,equal_block,all,q,-0.0035959519367693817,0.0006732944901036183,-0.004878381919215968,-0.0027347362285339294,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,ce_ctw_original,0.021619053958725588,0.005660553630438053,0.015891536324089017,0.027637131741024668,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,ce_ctw_shuffled,0.0129585074698646,0.0007307237683425751,0.012002083560600063,0.014304029333954027,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,ce_root_original,0.01078815914826219,0.00013001056175965248,0.010589113924907245,0.010961700902643479,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,ce_root_shuffled,0.012958507469864511,0.0007307237683423933,0.012002083560600063,0.014304029333953139,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,g_original,-0.010830894810463353,0.0056527253751404785,-0.016762929027947515,-0.005244135084508272,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,g_shuffled,-9.060858190906779e-17,1.4063040353885448e-16,-3.7332215171052065e-16,0.0,10,
oth,group_difference,PROSE_ALL,eligible_token_weighted,all,q,-0.010830894810463254,0.005652725375140457,-0.016762929027947515,-0.005244135084507884,10,
oth,group_difference,PROSE_ALL,equal_block,all,ce_ctw_original,0.019143064563961597,0.005174414398942194,0.013890529181368017,0.024527210485529416,10,
oth,group_difference,PROSE_ALL,equal_block,all,ce_ctw_shuffled,0.011012940681316951,0.0008019226587047577,0.010118795713549567,0.012377652575421116,10,
oth,group_difference,PROSE_ALL,equal_block,all,ce_root_original,0.009100208908925201,0.00012327464161444082,0.008929465645453938,0.009254871672441212,10,
oth,group_difference,PROSE_ALL,equal_block,all,ce_root_shuffled,0.011012940681316774,0.000801922658704751,0.010118795713548678,0.012377652575421116,10,
oth,group_difference,PROSE_ALL,equal_block,all,g_original,-0.010042855655036802,0.005172050547352294,-0.015409951228454233,-0.004858151363638541,10,
oth,group_difference,PROSE_ALL,equal_block,all,g_shuffled,-1.0658141036401505e-16,1.4979556132593927e-16,-3.552713678800501e-16,0.0,10,
oth,group_difference,PROSE_ALL,equal_block,all,q,-0.010042855655036698,0.005172050547352268,-0.015409951228454233,-0.004858151363638152,10,
oth,group_difference,contrast,eligible_token_weighted,all,ce_ctw_original,-0.0028186937390660026,0.005859324007093676,-0.00880137683353599,0.0039874591236666035,10,
